File selected,Probability for Lucila,Probability for Mosca Domestica,Probability for Piofila,User Name,Start Time,End Time
C:\Users\menga\Desktop\luciala 1 (1)lucila_0.png,0.95000,0.0300,0.0200,Michele,2024-01-25 20:26:16.943,2024-01-25 20:26:17.008
C:\Users\menga\Desktop\luciala 1 (1)lucila_0.png,0.9900,0.1000,0.0000,Leon,2024-01-25 20:28:35.509,2024-01-25 20:28:35.585
C:\Users\menga\Desktop\luciala 1 (1)lucila_0.png,0.8700,0.1300,0.0000,Simone,2024-01-25 20:28:42.665,2024-01-25 20:28:42.719
C:\Users\menga\Desktop\luciala 1 (1)lucila_0.png,1.0000,0.0000,0.0000,menga,2024-01-25 20:31:01.569,2024-01-25 20:31:01.639
C:\Users\menga\Desktop\luciala 1 (1)lucila_0.png,1.0000,0.0000,0.0000,menga,2024-01-25 20:31:17.849,2024-01-25 20:31:17.925
C:\Users\menga\Desktop\luciala 1 (1)lucila_0.png,1.0000,0.0000,0.0000,menga,2024-01-25 20:32:38.567,2024-01-25 20:32:38.633
C:\Users\simon\Simone\Università\Complex Systems design\DATASETS\Michele\Test\Piofila\slice_1 (10)piofila_10.png,0.0000,0.0000,1.0000,simon,2024-01-29 19:23:46.095,2024-01-29 19:23:46.173
C:\Users\simon\Simone\Università\Complex Systems design\DATASETS\Michele\Test\MoscaDomestica\mosca domestica 1 (79).png,0.0000,1.0000,0.0000,simon,2024-01-29 19:23:55.236,2024-01-29 19:23:55.264
C:\Users\simon\Simone\Università\Complex Systems design\DATASETS\Michele\Test\Lucila\lucila 1 (67)lucila_128.png,1.0000,0.0000,0.0000,simon,2024-01-29 19:24:04.329,2024-01-29 19:24:04.357
H:\Il mio Drive\Personal\University\Master's\Complex System Desygn\InsectaCam\Test\Lucila\lucila 1 (4)lucila_65.png,0.9995,0.0005,0.0000,menga,2024-01-25 23:34:20.638,2024-01-25 23:34:20.913
H:\Il mio Drive\Personal\University\Master's\Complex System Desygn\InsectaCam\Test\MoscaDomestica\mosca domestica 1 (79).png,0.0000,1.0000,0.0000,menga,2024-01-25 23:34:28.824,2024-01-25 23:34:28.900
H:\Il mio Drive\Personal\University\Master's\Complex System Desygn\InsectaCam\Test\Piofila\slice_1_4x (78)piofila_315.png,0.0000,0.0000,1.0000,menga,2024-01-25 23:34:35.545,2024-01-25 23:34:35.617
H:\Il mio Drive\Personal\University\Master's\Complex System Desygn\InsectaCam\Test\Lucila\lucila 1 (68)lucila_129.png,1.0000,0.0000,0.0000,menga,2024-01-25 23:34:41.904,2024-01-25 23:34:41.963
H:\Il mio Drive\Personal\University\Master's\Complex System Desygn\InsectaCam\Test\MoscaDomestica\mosca domestica 1 (42).png,0.0002,0.9998,0.0000,menga,2024-01-25 23:34:47.374,2024-01-25 23:34:47.443
H:\Il mio Drive\Personal\University\Master's\Complex System Desygn\InsectaCam\Test\Piofila\slice_1 (38)piofila_38.png,0.0000,0.0000,1.0000,menga,2024-01-25 23:34:52.122,2024-01-25 23:34:52.181
H:\Il mio Drive\Personal\University\Master's\Complex System Desygn\InsectaCam\Test\Lucila\luciala 1 (24)lucila_22.png,1.0000,0.0000,0.0000,menga,2024-01-26 08:53:40.672,2024-01-26 08:53:40.970
H:\Il mio Drive\Personal\University\Master's\Complex System Desygn\InsectaCam\Test\MoscaDomestica\mosca domestica 1 (36).png,0.0002,0.9998,0.0000,menga,2024-01-26 08:53:47.843,2024-01-26 08:53:47.906
H:\Il mio Drive\Personal\University\Master's\Complex System Desygn\InsectaCam\Test\Piofila\slice_1 (13)piofila_13.png,0.0000,0.0006,0.9994,menga,2024-01-26 08:54:05.795,2024-01-26 08:54:05.864
H:\Il mio Drive\Personal\University\Master's\Complex System Desygn\InsectaCam\Test\Lucila\luciala 1 (13)lucila_11.png,1.0000,0.0000,0.0000,menga,2024-01-26 10:16:12.639,2024-01-26 10:16:12.861
H:\Il mio Drive\Personal\University\Master's\Complex System Desygn\InsectaCam\Test\MoscaDomestica\mosca domestica 1 (67).png,0.0000,1.0000,0.0000,menga,2024-01-26 10:16:22.045,2024-01-26 10:16:22.125
